chime_id,timestamp,app,env,region,severity,title,message,status,ack_by,duration_sec,tags,link
9cf0ec38f3f2,2025-10-16T10:25:05.682054+05:30,kafka-consumer,prod,us-east-1,critical,Service outage,kafka-consumer in prod (us-east-1) reported service outage.,resolved,,71,"env:prod,sev:critical",https://alerts.example.internal/chimes/1078
780d53b8936e,2025-10-15T18:36:32.682054+05:30,scheduler,dev,us-east-1,warning,Increased error rate,scheduler in dev (us-east-1) reported increased error rate.,resolved,tushar,49,errors,https://alerts.example.internal/chimes/1051
69c2ad421070,2025-10-15T17:00:47.682054+05:30,checkout-api,prod,mumbai,critical,Ingress route broken,checkout-api in prod (mumbai) reported ingress route broken.,triggered,,99,"env:prod,sev:critical,ingress",https://alerts.example.internal/chimes/1000
4cd518b3bf09,2025-10-15T12:08:38.682054+05:30,envoy,prod,us-east-1,warning,Disk usage crossing threshold,envoy in prod (us-east-1) reported disk usage crossing threshold.,resolved,ankit,38,env:prod,https://alerts.example.internal/chimes/1052
7538aedb4e31,2025-10-15T05:11:57.682054+05:30,payments,prod,mumbai,critical,Service outage,payments in prod (mumbai) reported service outage.,triggered,,45,"env:prod,sev:critical",https://alerts.example.internal/chimes/1060
16991af0d8a8,2025-10-15T03:26:19.682054+05:30,scheduler,prod,us-east-1,warning,Increased error rate,scheduler in prod (us-east-1) reported increased error rate.,resolved,tushar,215,"env:prod,errors",https://alerts.example.internal/chimes/1020
40f003c5f6b6,2025-10-15T00:18:52.682054+05:30,scheduler,prod,delhi,warning,CPU throttle observed,scheduler in prod (delhi) reported cpu throttle observed.,acknowledged,bhagyashree,39,env:prod,https://alerts.example.internal/chimes/1069
f287e83e4e07,2025-10-14T21:01:46.682054+05:30,kafka-consumer,prod,us-east-1,warning,Increased error rate,kafka-consumer in prod (us-east-1) reported increased error rate.,acknowledged,kushal,30,"env:prod,errors",https://alerts.example.internal/chimes/1037
9c7aec789485,2025-10-14T19:06:25.682054+05:30,envoy,prod,us-east-1,warning,Increased error rate,envoy in prod (us-east-1) reported increased error rate.,triggered,,55,"env:prod,errors",https://alerts.example.internal/chimes/1005
3948ca54393a,2025-10-14T15:15:15.682054+05:30,inventory,prod,us-east-1,warning,Disk usage crossing threshold,inventory in prod (us-east-1) reported disk usage crossing threshold.,resolved,neha,123,env:prod,https://alerts.example.internal/chimes/1007
85cfc7d1d46f,2025-10-14T14:30:57.682054+05:30,envoy,staging,delhi,critical,Kafka consumer lag spike,envoy in staging (delhi) reported kafka consumer lag spike.,triggered,,128,"sev:critical,kafka",https://alerts.example.internal/chimes/1034
cb31d63c81a6,2025-10-14T13:44:40.682054+05:30,envoy,staging,delhi,warning,CPU throttle observed,envoy in staging (delhi) reported cpu throttle observed.,acknowledged,anurag,46,misc,https://alerts.example.internal/chimes/1010
37c5da28e7ee,2025-10-14T12:54:49.682054+05:30,inventory,staging,delhi,critical,Failed deployment,inventory in staging (delhi) reported failed deployment.,acknowledged,kushal,45,"sev:critical,deploy",https://alerts.example.internal/chimes/1008
0f17416aeaf1,2025-10-14T11:39:24.682054+05:30,inventory,prod,delhi,critical,Failed deployment,inventory in prod (delhi) reported failed deployment.,acknowledged,rohit,235,"env:prod,sev:critical,deploy",https://alerts.example.internal/chimes/1006
40e1fa1f6224,2025-10-14T10:19:20.682054+05:30,inventory,prod,mumbai,warning,CPU throttle observed,inventory in prod (mumbai) reported cpu throttle observed.,triggered,,70,env:prod,https://alerts.example.internal/chimes/1022
5ef4d9704eb5,2025-10-14T03:12:11.682054+05:30,kafka-consumer,staging,delhi,critical,Kafka consumer lag spike,kafka-consumer in staging (delhi) reported kafka consumer lag spike.,resolved,rohit,140,"sev:critical,kafka",https://alerts.example.internal/chimes/1055
b7976cd325cc,2025-10-14T02:12:37.682054+05:30,scheduler,prod,us-east-1,critical,Kafka consumer lag spike,scheduler in prod (us-east-1) reported kafka consumer lag spike.,acknowledged,tushar,89,"env:prod,sev:critical,kafka",https://alerts.example.internal/chimes/1068
dcbbd4be1349,2025-10-14T00:57:19.682054+05:30,auth,prod,us-east-1,warning,Pod restarts elevated,auth in prod (us-east-1) reported pod restarts elevated.,resolved,rohit,85,env:prod,https://alerts.example.internal/chimes/1017
5c65004ae51d,2025-10-14T00:15:51.682054+05:30,kafka-consumer,staging,delhi,warning,Increased error rate,kafka-consumer in staging (delhi) reported increased error rate.,triggered,,30,errors,https://alerts.example.internal/chimes/1049
36b6f131a9cf,2025-10-13T22:57:40.682054+05:30,scheduler,staging,us-east-1,critical,Service outage,scheduler in staging (us-east-1) reported service outage.,triggered,,52,sev:critical,https://alerts.example.internal/chimes/1077
b603a15cebcd,2025-10-13T20:46:23.682054+05:30,inventory,prod,us-east-1,warning,Disk usage crossing threshold,inventory in prod (us-east-1) reported disk usage crossing threshold.,acknowledged,bhagyashree,45,env:prod,https://alerts.example.internal/chimes/1011
43ea08637492,2025-10-13T18:26:37.682054+05:30,envoy,prod,us-east-1,critical,Database connection saturation,envoy in prod (us-east-1) reported database connection saturation.,triggered,,86,"env:prod,sev:critical",https://alerts.example.internal/chimes/1050
df7dd76d16d8,2025-10-13T16:25:48.682054+05:30,payments,prod,mumbai,warning,Disk usage crossing threshold,payments in prod (mumbai) reported disk usage crossing threshold.,acknowledged,tushar,65,env:prod,https://alerts.example.internal/chimes/1032
7ae7b31013e0,2025-10-13T13:17:56.682054+05:30,payments,prod,delhi,warning,Increased error rate,payments in prod (delhi) reported increased error rate.,resolved,,57,"env:prod,errors",https://alerts.example.internal/chimes/1061
98bb7742a0d1,2025-10-13T10:47:38.682054+05:30,kafka-consumer,prod,mumbai,warning,High latency detected,kafka-consumer in prod (mumbai) reported high latency detected.,acknowledged,neha,90,"env:prod,metric:latency",https://alerts.example.internal/chimes/1027
9afbffb78b8a,2025-10-13T06:41:03.682054+05:30,kafka-consumer,staging,us-east-1,critical,Service outage,kafka-consumer in staging (us-east-1) reported service outage.,acknowledged,rohit,87,sev:critical,https://alerts.example.internal/chimes/1048
387a875425c6,2025-10-12T22:24:57.682054+05:30,web-frontend,prod,us-east-1,warning,CPU throttle observed,web-frontend in prod (us-east-1) reported cpu throttle observed.,triggered,,293,env:prod,https://alerts.example.internal/chimes/1031
cf5354abe030,2025-10-12T22:22:04.682054+05:30,payments,prod,delhi,critical,Failed deployment,payments in prod (delhi) reported failed deployment.,resolved,,30,"env:prod,sev:critical,deploy",https://alerts.example.internal/chimes/1016
f81ad7843917,2025-10-12T21:41:44.682054+05:30,scheduler,dev,mumbai,warning,Disk usage crossing threshold,scheduler in dev (mumbai) reported disk usage crossing threshold.,triggered,,59,misc,https://alerts.example.internal/chimes/1001
15427ab0f4cf,2025-10-12T15:57:12.682054+05:30,checkout-api,prod,mumbai,critical,Failed deployment,checkout-api in prod (mumbai) reported failed deployment.,triggered,,41,"env:prod,sev:critical,deploy",https://alerts.example.internal/chimes/1028
5d239d814974,2025-10-11T23:04:23.682054+05:30,kafka-consumer,staging,delhi,critical,Service outage,kafka-consumer in staging (delhi) reported service outage.,acknowledged,kushal,76,sev:critical,https://alerts.example.internal/chimes/1041
62b42ecf8f1e,2025-10-11T22:47:51.682054+05:30,web-frontend,prod,us-east-1,critical,Kafka consumer lag spike,web-frontend in prod (us-east-1) reported kafka consumer lag spike.,resolved,kushal,30,"env:prod,sev:critical,kafka",https://alerts.example.internal/chimes/1062
7762dfee13d7,2025-10-11T21:17:23.682054+05:30,envoy,prod,delhi,warning,High latency detected,envoy in prod (delhi) reported high latency detected.,acknowledged,ankit,64,"env:prod,metric:latency",https://alerts.example.internal/chimes/1072
85832cceb650,2025-10-11T20:52:33.682054+05:30,envoy,prod,delhi,warning,Disk usage crossing threshold,envoy in prod (delhi) reported disk usage crossing threshold.,triggered,,62,env:prod,https://alerts.example.internal/chimes/1066
b411a651aedb,2025-10-11T18:25:13.682054+05:30,checkout-api,staging,delhi,critical,Database connection saturation,checkout-api in staging (delhi) reported database connection saturation.,resolved,tushar,37,sev:critical,https://alerts.example.internal/chimes/1045
1a712b14faa6,2025-10-11T15:20:52.682054+05:30,checkout-api,staging,mumbai,critical,Service outage,checkout-api in staging (mumbai) reported service outage.,resolved,ankit,102,sev:critical,https://alerts.example.internal/chimes/1009
e0e831b7ab2a,2025-10-11T13:16:01.682054+05:30,auth,prod,us-east-1,critical,Service outage,auth in prod (us-east-1) reported service outage.,triggered,,89,"env:prod,sev:critical",https://alerts.example.internal/chimes/1070
2359ae93634e,2025-10-11T10:34:18.682054+05:30,auth,prod,delhi,warning,Disk usage crossing threshold,auth in prod (delhi) reported disk usage crossing threshold.,acknowledged,bhagyashree,30,env:prod,https://alerts.example.internal/chimes/1013
5ff9b922eac1,2025-10-11T09:09:43.682054+05:30,auth,staging,delhi,warning,Increased error rate,auth in staging (delhi) reported increased error rate.,triggered,,225,errors,https://alerts.example.internal/chimes/1003
50b1b4a0e212,2025-10-11T08:55:20.682054+05:30,auth,prod,mumbai,critical,Failed deployment,auth in prod (mumbai) reported failed deployment.,triggered,,228,"env:prod,sev:critical,deploy",https://alerts.example.internal/chimes/1071
8f015e8d508d,2025-10-10T21:53:27.682054+05:30,scheduler,prod,mumbai,warning,Pod restarts elevated,scheduler in prod (mumbai) reported pod restarts elevated.,acknowledged,akshat,30,env:prod,https://alerts.example.internal/chimes/1079
1aa113f1aafc,2025-10-10T18:06:48.682054+05:30,inventory,staging,us-east-1,warning,High latency detected,inventory in staging (us-east-1) reported high latency detected.,triggered,,155,metric:latency,https://alerts.example.internal/chimes/1047
6238e4c8b714,2025-10-10T14:38:58.682054+05:30,payments,prod,us-east-1,warning,CPU throttle observed,payments in prod (us-east-1) reported cpu throttle observed.,acknowledged,ankit,30,env:prod,https://alerts.example.internal/chimes/1033
470450f0b7d1,2025-10-10T10:09:29.682054+05:30,scheduler,prod,mumbai,critical,Ingress route broken,scheduler in prod (mumbai) reported ingress route broken.,resolved,bhagyashree,152,"env:prod,sev:critical,ingress",https://alerts.example.internal/chimes/1054
0b680d23ccac,2025-10-10T03:36:45.682054+05:30,checkout-api,prod,mumbai,warning,CPU throttle observed,checkout-api in prod (mumbai) reported cpu throttle observed.,acknowledged,anurag,30,env:prod,https://alerts.example.internal/chimes/1023
d8b522dc656a,2025-10-10T03:16:23.682054+05:30,web-frontend,prod,mumbai,critical,Kafka consumer lag spike,web-frontend in prod (mumbai) reported kafka consumer lag spike.,resolved,kushal,30,"env:prod,sev:critical,kafka",https://alerts.example.internal/chimes/1063
97a406b9d797,2025-10-10T01:38:34.682054+05:30,kafka-consumer,prod,us-east-1,critical,Database connection saturation,kafka-consumer in prod (us-east-1) reported database connection saturation.,acknowledged,rohit,127,"env:prod,sev:critical",https://alerts.example.internal/chimes/1064
866fab7bf227,2025-10-09T23:44:46.682054+05:30,checkout-api,staging,mumbai,critical,Database connection saturation,checkout-api in staging (mumbai) reported database connection saturation.,resolved,anurag,52,sev:critical,https://alerts.example.internal/chimes/1029
c9dbabd3de91,2025-10-09T23:23:28.682054+05:30,inventory,prod,mumbai,warning,Pod restarts elevated,inventory in prod (mumbai) reported pod restarts elevated.,resolved,kushal,78,env:prod,https://alerts.example.internal/chimes/1039
13097153ec38,2025-10-09T18:42:28.682054+05:30,envoy,prod,us-east-1,warning,High latency detected,envoy in prod (us-east-1) reported high latency detected.,acknowledged,tushar,55,"env:prod,metric:latency",https://alerts.example.internal/chimes/1021
33d5b559bbb6,2025-10-09T17:39:11.682054+05:30,kafka-consumer,dev,delhi,warning,Increased error rate,kafka-consumer in dev (delhi) reported increased error rate.,resolved,rohit,78,errors,https://alerts.example.internal/chimes/1036
fb5b98de68c5,2025-10-09T17:33:57.682054+05:30,inventory,prod,delhi,critical,Service outage,inventory in prod (delhi) reported service outage.,acknowledged,vinay,145,"env:prod,sev:critical",https://alerts.example.internal/chimes/1059
d559c80afb7c,2025-10-09T16:39:33.682054+05:30,envoy,prod,delhi,warning,High latency detected,envoy in prod (delhi) reported high latency detected.,triggered,,32,"env:prod,metric:latency",https://alerts.example.internal/chimes/1018
bd2366d7cc01,2025-10-09T15:27:18.682054+05:30,scheduler,prod,us-east-1,warning,CPU throttle observed,scheduler in prod (us-east-1) reported cpu throttle observed.,triggered,,30,env:prod,https://alerts.example.internal/chimes/1044
1fc7e5cb7053,2025-10-09T11:55:53.682054+05:30,envoy,dev,mumbai,critical,Failed deployment,envoy in dev (mumbai) reported failed deployment.,resolved,tushar,52,"sev:critical,deploy",https://alerts.example.internal/chimes/1057
4bf30c84f5bc,2025-10-09T11:17:19.682054+05:30,payments,staging,mumbai,warning,Pod restarts elevated,payments in staging (mumbai) reported pod restarts elevated.,resolved,tushar,46,misc,https://alerts.example.internal/chimes/1046
d2afa130a46a,2025-10-09T07:41:22.682054+05:30,envoy,prod,mumbai,warning,High latency detected,envoy in prod (mumbai) reported high latency detected.,resolved,tushar,52,"env:prod,metric:latency",https://alerts.example.internal/chimes/1043
c8b219834c18,2025-10-09T01:57:40.682054+05:30,web-frontend,staging,delhi,warning,High latency detected,web-frontend in staging (delhi) reported high latency detected.,resolved,neha,43,metric:latency,https://alerts.example.internal/chimes/1024
2a62522c8398,2025-10-09T01:54:09.682054+05:30,envoy,prod,mumbai,warning,CPU throttle observed,envoy in prod (mumbai) reported cpu throttle observed.,triggered,,30,env:prod,https://alerts.example.internal/chimes/1026
c60b8ad66eeb,2025-10-08T19:22:20.682054+05:30,inventory,prod,delhi,warning,Disk usage crossing threshold,inventory in prod (delhi) reported disk usage crossing threshold.,resolved,,128,env:prod,https://alerts.example.internal/chimes/1075
03d6f8161f31,2025-10-08T15:00:28.682054+05:30,payments,dev,mumbai,critical,Service outage,payments in dev (mumbai) reported service outage.,acknowledged,tushar,197,sev:critical,https://alerts.example.internal/chimes/1065
f217b22016a4,2025-10-08T13:38:08.682054+05:30,auth,prod,delhi,warning,CPU throttle observed,auth in prod (delhi) reported cpu throttle observed.,acknowledged,bhagyashree,60,env:prod,https://alerts.example.internal/chimes/1042
bc7dd14201f6,2025-10-08T07:53:49.682054+05:30,payments,prod,us-east-1,critical,Ingress route broken,payments in prod (us-east-1) reported ingress route broken.,resolved,anurag,30,"env:prod,sev:critical,ingress",https://alerts.example.internal/chimes/1019
117986f8b1d0,2025-10-08T07:34:31.682054+05:30,scheduler,staging,us-east-1,warning,Pod restarts elevated,scheduler in staging (us-east-1) reported pod restarts elevated.,acknowledged,tushar,108,misc,https://alerts.example.internal/chimes/1053
4b1618946257,2025-10-08T07:15:53.682054+05:30,inventory,prod,us-east-1,critical,Service outage,inventory in prod (us-east-1) reported service outage.,triggered,,30,"env:prod,sev:critical",https://alerts.example.internal/chimes/1074
7160e8b61cad,2025-10-08T06:51:30.682054+05:30,kafka-consumer,prod,us-east-1,critical,Service outage,kafka-consumer in prod (us-east-1) reported service outage.,acknowledged,bhagyashree,55,"env:prod,sev:critical",https://alerts.example.internal/chimes/1004
40c73a6bcc34,2025-10-08T03:51:57.682054+05:30,kafka-consumer,prod,mumbai,critical,Database connection saturation,kafka-consumer in prod (mumbai) reported database connection saturation.,resolved,kushal,30,"env:prod,sev:critical",https://alerts.example.internal/chimes/1014
57e6257ea74b,2025-10-08T01:59:10.682054+05:30,payments,prod,mumbai,critical,Service outage,payments in prod (mumbai) reported service outage.,resolved,,71,"env:prod,sev:critical",https://alerts.example.internal/chimes/1076
aa73e8efdb19,2025-10-08T01:40:36.682054+05:30,payments,prod,mumbai,critical,Failed deployment,payments in prod (mumbai) reported failed deployment.,acknowledged,kushal,30,"env:prod,sev:critical,deploy",https://alerts.example.internal/chimes/1038
7968366d7b3a,2025-10-07T23:37:18.682054+05:30,payments,dev,us-east-1,warning,Disk usage crossing threshold,payments in dev (us-east-1) reported disk usage crossing threshold.,resolved,neha,30,misc,https://alerts.example.internal/chimes/1035
1f3c0437ae96,2025-10-07T20:58:46.682054+05:30,inventory,prod,mumbai,warning,High latency detected,inventory in prod (mumbai) reported high latency detected.,acknowledged,akshat,80,"env:prod,metric:latency",https://alerts.example.internal/chimes/1012
ca5ba05fd6ec,2025-10-07T19:11:55.682054+05:30,inventory,prod,us-east-1,warning,Disk usage crossing threshold,inventory in prod (us-east-1) reported disk usage crossing threshold.,triggered,,34,env:prod,https://alerts.example.internal/chimes/1056
7825d98d21ed,2025-10-07T15:42:46.682054+05:30,inventory,prod,us-east-1,warning,Pod restarts elevated,inventory in prod (us-east-1) reported pod restarts elevated.,resolved,anurag,86,env:prod,https://alerts.example.internal/chimes/1058
a83d3c352566,2025-10-07T14:29:12.682054+05:30,checkout-api,prod,delhi,warning,High latency detected,checkout-api in prod (delhi) reported high latency detected.,triggered,,233,"env:prod,metric:latency",https://alerts.example.internal/chimes/1073
0cf1e6104743,2025-10-07T11:32:05.682054+05:30,web-frontend,staging,delhi,warning,Increased error rate,web-frontend in staging (delhi) reported increased error rate.,triggered,,41,errors,https://alerts.example.internal/chimes/1030
f22121ca4fe2,2025-10-07T10:16:43.682054+05:30,envoy,prod,delhi,critical,Service outage,envoy in prod (delhi) reported service outage.,resolved,neha,72,"env:prod,sev:critical",https://alerts.example.internal/chimes/1025
89906247f0e6,2025-10-07T07:20:29.682054+05:30,checkout-api,dev,delhi,warning,Increased error rate,checkout-api in dev (delhi) reported increased error rate.,resolved,akshat,120,errors,https://alerts.example.internal/chimes/1040
ecc9f8e7e5f8,2025-10-06T20:23:35.682054+05:30,scheduler,staging,us-east-1,warning,Pod restarts elevated,scheduler in staging (us-east-1) reported pod restarts elevated.,acknowledged,vinay,111,misc,https://alerts.example.internal/chimes/1002
a609d6d35b95,2025-10-06T20:13:03.682054+05:30,checkout-api,prod,us-east-1,critical,Database connection saturation,checkout-api in prod (us-east-1) reported database connection saturation.,acknowledged,rohit,148,"env:prod,sev:critical",https://alerts.example.internal/chimes/1067
f4663fd3fb10,2025-10-06T19:26:43.682054+05:30,envoy,dev,delhi,critical,Ingress route broken,envoy in dev (delhi) reported ingress route broken.,triggered,,42,"sev:critical,ingress",https://alerts.example.internal/chimes/1015
